iid;job;company;ssn;residence;current_location;blood_group;website;username;name;sex_x;address;mail;birthdate;age;sex_y;cp;trestbps;chol;fbs;restecg;thalach;exang;oldpeak;slope;ca;thal;target
257;Engineer, civil (contracting);Sandhu and Sons;416-58-2405;H.No. 65, Balay Street, Hapur-656092;(Decimal('-11.755690'), Decimal('63.515318'));AB-;['https://www.vasa-chakrabarti.net/', 'https://www.balasubramanian.com/', 'http://kapadia.com/', 'https://shere.info/'];emir40;Dhruv Bhalla;M;"83/79
Mannan Nagar
Bidhannagar 888827";thakkareva@hotmail.com;1960-06-09;55;0;1;135;250;0;0;161;0;1.4;1;0;2;1
258;Insurance risk surveyor;Hernandez, Miller and Simmons;835-28-4544;"14186 Mcguire Shoals Apt. 504
North Sara, MH 35629";(Decimal('-76.6877445'), Decimal('-90.032645'));AB-;['http://snow.com/'];odomsylvia;Melissa Lawson;F;"Unit 0787 Box 4090
DPO AE 39485";solomonsean@gmail.com;1917-04-16;64;1;0;145;212;0;0;132;0;2.0;1;2;1;0
259;chocolatier-confiseur;Camus Lemaire S.A.;2,76113E+14;"540, rue Bernard Barbe
20272 Gérard";(Decimal('2.1622215'), Decimal('-88.204764'));O+;['http://nguyen.com/', 'http://www.guibert.com/', 'https://www.jourdan.fr/', 'http://allard.net/'];jacquesfournier;Gérard Rivière;M;"74, rue Dos Santos
69835 Delorme";olivie26@wanadoo.fr;1977-11-14;53;0;0;138;234;0;0;160;0;0.0;2;0;2;1
260;Acupuncturist;Rodriguez PLC;854-01-8341;"1901 Andrew Walks
Bobside, NM 34627";(Decimal('-79.961427'), Decimal('-123.462405'));A+;['https://www.ochoa.com/', 'http://jones.com/'];xwall;Tracie Brewer;F;"PSC 8580, Box 6899
APO AE 13805";jacquelinemiller@yahoo.com;1935-01-10;62;0;0;140;394;0;0;157;0;1.2;1;0;2;1
261;Firefighter;Jennings-Lam;354-37-3785;"995 Katherine Creek
North Isaiahshire, PW 88696";(Decimal('84.740027'), Decimal('-122.324963'));AB-;['https://anderson.biz/', 'http://www.vasquez.info/'];todddale;John Mcgrath;M;"3360 Claudia Course
Schneiderton, GA 05441";cvelazquez@hotmail.com;1930-09-27;45;0;1;130;234;0;0;175;0;0.6;1;0;2;1
262;Data scientist;Salvi, Dasgupta and Dani;931-52-3526;"H.No. 874
Dasgupta Zila
Pimpri-Chinchwad 727707";(Decimal('-67.594382'), Decimal('155.925381'));A+;['http://www.kaul.org/', 'https://www.ratti.com/', 'https://gulati-ahuja.com/'];aaryahimand;Veer Iyengar;M;"96/49
Chhabra Path, Noida-670167";ganeshryan@gmail.com;1948-04-12;56;1;1;120;240;0;1;169;0;0.0;0;0;2;1
265;Lexicographer;Mcdonald PLC;030-83-9971;"266 Antonio Key Suite 534
South Christinetown, RI 11770";(Decimal('-83.977271'), Decimal('147.009352'));B-;['https://barr-cook.com/', 'http://perez.biz/'];nathaniel43;Adam Bright;M;"35686 Johnson River
Millsbury, NJ 92812";mariahawkins@hotmail.com;2011-01-09;42;1;0;140;226;0;1;178;0;0.0;2;0;2;1
266;bactériologiste;Noël Pineau SA;1,99109E+14;"6, chemin Blondel
35902 Saint ThierryVille";(Decimal('-41.567148'), Decimal('36.996332'));AB-;['http://www.pierre.net/', 'https://www.legros.fr/', 'http://wagner.fr/'];zacharie35;Amélie Gillet-Thierry;F;"8, boulevard Margaret Techer
84194 Sainte Henri";dchevalier@live.com;1999-02-22;61;0;0;145;307;0;0;146;1;1.0;1;0;3;0
267;Merchandiser, retail;Ramakrishnan-Bhakta;913-96-7077;"12/115
Kaur Street
Deoghar-604889";(Decimal('79.960240'), Decimal('-174.602409'));AB+;['http://thaman.com/', 'https://www.kumer.com/'];ela93;Aarush Dar;M;"32/10, Sengupta Road
Bhalswa Jahangir Pur-202039";vihaan31@yahoo.com;1908-05-21;42;1;2;130;180;0;1;150;0;0.0;2;0;2;1
269;trader;Joseph Lamy SARL;1,19115E+14;"6, boulevard de Bègue
65306 Mathieudan";(Decimal('74.4747985'), Decimal('-173.260947'));O+;['http://letellier.net/', 'http://www.andre.com/', 'http://www.leclercq.com/'];colasaugustin;Maurice Royer-Jacques;M;"90, rue de Bernard
33528 Ollivier-sur-Mer";francois51@voila.fr;2001-08-22;70;1;2;160;269;0;1;112;1;2.9;1;1;3;0
270;orthoptiste;Roux;1,42061E+14;"73, rue de Lebon
73036 Laurent";(Decimal('-7.553889'), Decimal('173.496225'));AB+;['http://www.paul.org/', 'https://verdier.net/', 'https://berger.com/'];reneemaillard;Margot Marie-Meyer;F;"chemin Sabine Devaux
90381 Dumas-sur-Schmitt";pereirasusanne@dbmail.com;1917-07-27;60;1;0;117;230;1;1;160;1;1.4;2;2;3;0
271;Clinical molecular geneticist;Thomas-Anderson;385-45-6925;"476 Dana Lake Suite 620
Danielside, TX 08814";(Decimal('-27.092676'), Decimal('-168.604350'));B-;['http://www.coleman-williams.net/'];tammy78;Paul Haynes;M;"281 Robert Meadows
South Lee, NM 94644";mwilliams@hotmail.com;1955-12-21;57;1;0;140;192;0;1;148;0;0.4;1;0;1;1
272;ingénieur brevets;Georges;1,45111E+14;"33, rue de Rey
53616 Pereira-la-Forêt";(Decimal('39.177296'), Decimal('-96.687634'));B-;['http://www.weber.com/', 'https://le.fr/', 'http://www.dias.fr/', 'http://www.jourdan.com/'];umenard;Margaux Thibault-Perrin;F;"37, avenue Denise Vincent
18890 Dumas";franck25@voila.fr;1908-12-12;57;1;1;154;232;0;0;164;0;0.0;2;1;2;0
273;Stage manager;Massey PLC;556-71-9231;"9505 Rice Dale
Lake Howard, CA 29168";(Decimal('16.130017'), Decimal('-5.494290'));B+;['http://www.weaver-bush.com/', 'https://malone-thompson.com/', 'https://navarro.com/', 'http://goodman.biz/'];michael50;Charles Mitchell;M;"82913 Meredith Shore Apt. 286
South Robert, NJ 09027";griffinmargaret@hotmail.com;1969-04-09;42;1;0;136;315;0;1;125;1;1.8;1;0;1;0
274;Production engineer;Johnson Ltd;186-80-6157;"02346 Jessica Garden Apt. 427
Ginamouth, CA 48272";(Decimal('9.435938'), Decimal('110.769523'));A+;['https://ibarra.org/', 'http://www.hansen-miller.net/'];pyates;Jason Davis;M;"51763 Ford Stravenue
Millerfort, NV 83879";jennifer93@hotmail.com;1992-07-13;46;1;1;101;197;1;1;156;0;0.0;2;0;3;1
275;comptable;Raymond;1,79027E+14;"69, rue Weiss
28896 Daniel";(Decimal('-28.1957585'), Decimal('-131.238834'));B+;['https://laine.fr/', 'https://hubert.net/', 'http://www.delorme.fr/', 'http://www.morel.org/'];manonlefevre;Arthur Besson;M;"44, rue de Julien
48142 Roussel-la-Forêt";jacquotemile@sfr.fr;1941-06-30;54;1;0;122;286;0;0;116;1;3.2;1;2;2;0
276;Planning and development surveyor;Martin Inc;401-68-1732;"83960 Thomas Greens Apt. 309
Munoztown, SD 22813";(Decimal('19.8453585'), Decimal('-55.676327'));O-;['https://www.henderson.com/', 'https://www.mckenzie.com/', 'http://watts-harris.com/'];joannalopez;Keith Garza;M;"91104 Marco Plains Apt. 326
Hernandezburgh, NJ 67850";iwilliams@yahoo.com;2019-07-17;52;1;3;152;298;1;1;178;0;1.2;1;0;3;1
277;Regulatory affairs officer;Kapoor-Guha;379-62-8167;"357, Ramanathan Road
Bhilwara-426587";(Decimal('-87.6791975'), Decimal('-133.325343'));A+;['https://chatterjee.com/', 'https://deol-balay.com/', 'http://hayer.biz/'];fdhar;Chirag Dave;F;"142
Sunder, Khora -360842";tsani@hotmail.com;1942-04-16;57;0;0;120;354;0;1;163;1;0.6;2;0;2;1
278;Technical sales engineer;Clark, Miller and Wilson;653-74-6133;"4334 Heather Road
East Alison, GU 40805";(Decimal('-80.7813625'), Decimal('163.123171'));AB-;['http://byrd.com/', 'https://hayden.biz/', 'http://www.johnson.com/', 'http://www.watson-hooper.info/'];normanayala;Corey Lozano;M;"38551 Carroll Hollow Suite 208
North Jamesstad, NE 60871";gina69@gmail.com;1992-10-29;46;1;0;120;249;0;0;144;0;0.8;2;0;3;0
279;Furniture designer;Goswami-Buch;008-80-1615;"897
Krishna Chowk
Meerut 211705";(Decimal('-23.5273025'), Decimal('-62.003314'));B-;['http://walia-saha.net/'];nishith31;Vanya Hari;F;"H.No. 985
Sarna Ganj, Udupi 700287";bumbstuvan@gmail.com;1916-02-01;67;1;2;152;212;0;0;150;0;0.8;1;0;3;0
280;technicien radioprotection;Dubois Morin S.A.;1,78043E+14;"14, rue de Lévêque
30430 RocheVille";(Decimal('54.607696'), Decimal('136.803747'));AB-;['http://www.garnier.net/', 'https://www.chauveau.org/', 'https://bonnet.fr/'];courtoisalice;André Gosselin-Fouquet;M;"rue Alexandria Lacombe
38324 Bonnet";dupuismonique@sfr.fr;1947-03-01;44;1;1;130;219;0;0;188;0;0.0;2;0;2;1
281;Mining engineer;Keer-Sama;259-63-7556;"H.No. 38
Chaudry Ganj
Loni 354524";(Decimal('9.6295755'), Decimal('-34.383842'));O+;['http://www.choudhury.net/', 'https://www.madan-vala.com/', 'https://www.kuruvilla-jani.com/'];hunar68;Riya Chacko;M;"38
Kant Circle
Barasat-257270";edeep@yahoo.com;1947-01-10;41;1;1;120;157;0;1;182;0;0.0;2;0;2;1
282;Systems analyst;Mejia, Lynn and Armstrong;582-35-8264;"33964 Kevin Island Apt. 667
West Andrew, AK 43960";(Decimal('36.632741'), Decimal('66.542942'));AB+;['http://www.castro-johnson.com/', 'http://www.rosales.com/', 'https://www.perry.com/', 'http://cannon.biz/'];ashleycollier;Mary Russell;F;"53227 Escobar Ridge Apt. 570
Port Sandra, NY 38904";janetreyes@gmail.com;1963-09-10;53;0;0;130;264;0;0;143;0;0.4;1;0;2;1
283;Operational investment banker;Patterson Inc;682-75-7762;"0010 Ward Field Suite 770
Audreyport, MS 45415";(Decimal('77.478608'), Decimal('-156.582218'));O+;['https://hopkins.com/', 'http://knox-edwards.com/', 'https://randolph.biz/', 'https://www.rivas-campbell.info/'];dorothymcpherson;Molly Clarke;F;"90719 Felicia Brook
Jessicaburgh, NV 76794";mercadodanielle@gmail.com;1937-08-14;54;1;0;110;206;0;0;108;1;0.0;1;1;2;0
284;Personal assistant;Lawrence Inc;896-51-1244;"324 Jonathan Freeway
Bryanborough, MT 35637";(Decimal('-20.466732'), Decimal('4.094565'));B+;['http://vasquez.org/', 'http://www.holt-cantrell.com/'];sarahstrong;Julia Torres;F;"811 Deborah Manor Apt. 980
New Suzanne, PA 82998";amy30@gmail.com;1940-12-06;57;1;0;132;207;0;1;168;1;0.0;2;0;3;1
285;Commercial horticulturist;Adams Ltd;619-14-9427;"59142 Ellis Viaduct
Schmidtmouth, IL 70663";(Decimal('35.5186175'), Decimal('-149.416791'));AB+;['https://www.york.com/', 'http://wolf-brock.net/', 'https://www.johnson.com/', 'http://www.hammond.com/'];gomezamanda;Mitchell Pierce;M;"134 Ellis Mount
Port David, MI 66410";youngashley@yahoo.com;1990-07-29;64;1;0;128;263;0;1;105;1;0.2;1;1;3;1
286;Field trials officer;Brown, Murphy and Richardson;242-57-2713;"3945 Shaffer Spring Apt. 702
West Vincent, OR 22225";(Decimal('-85.292296'), Decimal('-88.846390'));A-;['https://myers-walker.info/', 'https://suarez.info/'];kempmargaret;Angelica Lucero;F;"468 Bailey Mount Apt. 470
Lake Marissa, VI 84350";nathanielcastillo@hotmail.com;1998-07-05;42;1;2;130;180;0;1;150;0;0.0;2;0;2;1
287;Furniture designer;Sarna, Kapadia and Bedi;990-94-0813;"81/34
Goda Street, Udaipur-168162";(Decimal('-30.0333335'), Decimal('-39.610235'));B+;['https://chaudhari.biz/'];indrajit59;Suhana Subramaniam;F;"H.No. 993
Bala Path, Bellary-578226";stuvan78@hotmail.com;1975-04-15;57;1;2;150;126;1;1;173;0;0.2;2;1;3;1
288;conducteur de travaux  agricoles;Leduc Lecoq SA;1,39052E+14;"860, chemin Andre
41942 Massenec";(Decimal('-48.2864785'), Decimal('-58.890695'));B-;['http://www.brunel.org/', 'http://guillou.net/', 'https://www.boyer.com/', 'http://meunier.net/'];bourgeoisjulien;Madeleine Legendre Le Hebert;F;"864, rue Josette Coulon
41066 Sainte Joséphine";zgeorges@live.com;2005-09-18;58;0;2;120;340;0;1;172;0;0.0;2;0;2;1
289;Surveyor, land/geomatics;Johnson Ltd;208-24-9698;"000 Patrick Trail Apt. 012
New Matthewberg, CT 52463";(Decimal('11.541776'), Decimal('125.365719'));AB-;['http://taylor.com/', 'https://knight.com/', 'http://hayes-kramer.info/', 'https://www.leach.com/'];adampayne;Nathaniel Johnson;M;"7687 William Walk
Port Charles, DE 31363";fwilliams@hotmail.com;1914-11-26;41;0;1;130;204;0;0;172;0;1.4;2;0;2;1
290;Analytical chemist;Dube, Mallick and Krishna;547-54-0678;"92/313
Dhaliwal Nagar, Vasai-Virar 729155";(Decimal('85.6095845'), Decimal('15.225419'));AB+;['http://kibe-ben.com/', 'http://tank.biz/'];jbarad;Bhamini Date;F;"36
Sandhu Ganj, Pali-314305";dhanukdhaliwal@yahoo.com;2020-10-28;51;0;2;120;295;0;0;157;0;0.6;2;0;2;1
291;IT consultant;Bhatnagar, Hayre and Majumdar;186-45-0047;"H.No. 03
Agate, Shimla 082394";(Decimal('-22.164621'), Decimal('14.666397'));AB+;['http://www.yohannan-taneja.biz/', 'https://balakrishnan.net/', 'https://tandon-char.info/'];tushar25;Riya Kannan;F;"33/27
Chokshi Zila, Katni-722991";madhup76@yahoo.com;1910-10-13;58;1;0;150;270;0;0;111;1;0.8;2;0;3;0
292;Science writer;Devi, Basak and Apte;156-80-5260;"H.No. 51
Buch Street
Aizawl-575743";(Decimal('89.3540615'), Decimal('-1.155989'));A-;['http://www.rama.info/', 'http://mall.com/'];kismat30;Nirvaan Savant;F;"H.No. 511, Golla Street
Katihar-651612";ivana22@gmail.com;1939-05-31;35;1;1;122;192;0;1;174;0;0.0;2;0;2;1
293;Actuary;Ford-Harrell;488-29-1413;"385 Webb Pine
Kariborough, NH 54004";(Decimal('17.704946'), Decimal('67.377886'));O-;['http://alvarado.biz/', 'https://simon.com/'];michaelsanchez;Christopher Miller;M;"319 Elizabeth Land
Dennisberg, IA 67688";maria55@gmail.com;1923-01-30;58;0;0;100;248;0;0;122;0;1.0;1;0;2;1
294;chef de publicité;Gimenez et Fils;2,11027E+14;"rue de Laine
82219 Riou";(Decimal('13.3250915'), Decimal('136.598207'));A+;['http://www.pages.fr/'];camilleleclerc;Roland Étienne;M;"95, avenue Paris
00906 Gilbert";gilletolivier@gmail.com;2012-02-20;56;1;0;125;249;1;0;144;1;1.2;1;1;2;0
295;Tourist information centre manager;Ben, Jani and Borra;032-58-5857;"943
Ganguly Marg
Malda 323902";(Decimal('46.7333055'), Decimal('-87.957995'));B-;['https://www.sarma.com/'];anikaborra;Vivaan Sarkar;M;"03/901
Sibal Marg, Mau 269564";tarathakkar@gmail.com;1969-06-16;41;0;1;126;306;0;1;163;0;0.0;2;0;2;1
296;Occupational psychologist;Powell, Atkins and Kaufman;738-31-8793;"241 Thomas Via Apt. 883
East Brittanyfurt, GU 19430";(Decimal('24.365689'), Decimal('130.434955'));A+;['http://www.williams.com/', 'https://www.campbell.com/', 'http://www.campbell.com/'];lopezdavid;Connie Evans;F;"5344 Mccall Inlet
New David, PW 25979";xwashington@yahoo.com;1911-06-26;60;1;0;130;253;0;1;144;1;1.4;2;1;3;0
297;maquilleur artistique;Bonnin;1,0609E+14;"1, rue Gilles
55367 Saint Thérèse";(Decimal('69.198381'), Decimal('132.162068'));B-;['https://vasseur.fr/', 'https://www.fernandez.com/', 'http://www.rossi.fr/'];wimbert;Marguerite Lesage;F;"chemin Carpentier
51918 Baudry";vetienne@yahoo.fr;1995-10-05;59;1;0;140;177;0;1;162;1;0.0;2;1;3;0
298;Research scientist (medical);Tiwari-Dora;146-13-0125;"163
Wable, Bhalswa Jahangir Pur-905279";(Decimal('27.932258'), Decimal('-149.010502'));AB-;['http://www.yogi-jain.com/', 'http://basak.org/', 'http://www.bora.com/'];kartiksarma;Madhav Chandran;M;"45
Mahajan Ganj, Ludhiana-072724";tsankar@gmail.com;1924-05-24;62;1;2;130;231;0;1;146;0;1.8;1;3;3;1
299;ingénieur plasturgiste;Muller S.A.R.L.;2,34113E+14;"64, rue Fontaine
93961 Saint MargaretBourg";(Decimal('57.073121'), Decimal('-50.377110'));O+;['http://moulin.com/', 'https://www.allain.net/', 'http://marques.fr/'];paulraymond;Alfred-André Mace;M;"56, rue Dominique Goncalves
20427 Sainte Virginie";emilebarre@sfr.fr;1932-05-20;63;1;0;140;187;0;0;144;1;4.0;2;2;3;0
300;designer sonore;Legrand Joubert S.A.R.L.;2,96097E+14;"avenue de Guillet
21729 François";(Decimal('-61.327712'), Decimal('141.298462'));B+;['http://www.joly.net/', 'https://www.hernandez.com/', 'http://www.mercier.com/'];marc04;Lorraine Descamps;F;"55, rue Jacques
17443 Renault-sur-Guillou";zcarlier@hotmail.fr;1929-10-29;45;0;1;112;160;0;1;138;0;0.0;1;0;2;1
301;Scientist, research (medical);Potter, Smith and Coleman;134-39-4217;"4116 Bailey Spur Suite 115
Gregorymouth, DC 22820";(Decimal('15.957649'), Decimal('13.377314'));AB+;['https://gonzalez-diaz.com/', 'https://www.flores.biz/', 'https://padilla-meza.info/', 'https://www.ross-glass.net/'];karenclark;Mario Scott;M;"USCGC Brown
FPO AA 18467";qflores@yahoo.com;1972-07-05;67;0;0;106;223;0;1;142;0;0.3;2;2;2;1
302;Psychologist, forensic;Babu-Ramanathan;959-21-5712;33/464, Chander Street, Coimbatore-781493;(Decimal('-45.5683755'), Decimal('136.802281'));AB-;['https://kadakia.info/', 'https://dass.com/'];reneegala;Inaaya  Dhaliwal;F;"451
Shanker Nagar, Kozhikode-986262";shavardaniya@hotmail.com;1997-04-23;46;0;0;138;243;0;0;152;1;0.0;1;0;2;1
303;éclairagiste;Moreno Gallet SARL;2,36022E+14;"88, avenue de Cohen
31130 Sainte Françoisdan";(Decimal('-5.2077275'), Decimal('103.435935'));A+;['http://besson.fr/', 'http://www.costa.fr/', 'https://bertin.fr/', 'http://leroy.com/'];placombe;Patricia Allard;F;"65, rue Alexandre
08824 Saint PénélopeVille";charrierfrancois@tiscali.fr;1934-08-14;65;0;2;140;417;1;0;157;0;0.8;2;1;2;1
304;garde (chasse, pêche, littoral, rivière, parcs nationaux);Mathieu Besnard S.A.R.L.;1,00076E+14;"37, rue Simon
13201 Martins-les-Bains";(Decimal('73.5161435'), Decimal('-57.801689'));O-;['http://delaunay.net/', 'https://www.martineau.com/', 'https://www.delannoy.org/', 'http://www.barthelemy.fr/'];rossivictoire;Xavier Durand;M;"51, rue de Henry
37838 Mace-sur-Mahe";fleblanc@hotmail.fr;1942-12-22;45;0;0;138;236;0;0;152;1;0.2;1;0;2;1
305;Manufacturing engineer;Murphy-Mitchell;117-84-1623;"54793 Jackson Extension Suite 611
Lake Sherrybury, PR 05947";(Decimal('8.9315055'), Decimal('-179.143473'));AB-;['http://www.wilson.com/', 'https://www.vang-thomas.org/', 'http://cook.org/'];smithangela;Michael Harris;M;"520 Hart Summit Suite 667
South Kristin, MO 83014";brianna09@gmail.com;2018-07-12;37;0;2;120;215;0;1;170;0;0.0;2;0;2;1
306;ingénieur support;Garcia SA;2,36058E+14;"77, avenue Potier
36825 Texier";(Decimal('-3.812570'), Decimal('-2.796453'));B-;['http://www.berger.fr/'];daniellede-oliveira;Martin Chauvet;M;"2, rue de Leclercq
97842 Gaudin-sur-Mer";morelthibaut@ifrance.com;1989-06-25;58;0;0;170;225;1;0;146;1;2.8;1;2;1;0
307;Geophysical data processor;Williams-Gutierrez;674-06-6581;"7849 Stevenson Parks
Jacobview, TN 09735";(Decimal('23.174226'), Decimal('157.069294'));B-;['http://www.henson.info/', 'https://www.wright.net/', 'http://www.trujillo.com/', 'http://www.scott.com/'];hannah18;James Murphy;M;"43540 Rachel Freeway
Williamland, WA 78788";lsmith@yahoo.com;1923-01-10;50;1;2;140;233;0;1;163;0;0.6;1;1;3;0
308;chef de produit technique en informatique;Charles;2,01109E+14;"92, chemin Anouk Pages
09852 Lopesdan";(Decimal('67.1105485'), Decimal('110.899170'));B+;['https://www.voisin.fr/'];adelaideroche;André Vasseur;M;"473, chemin Pons
73360 De Oliveira";martinezemilie@club-internet.fr;1993-03-18;59;1;0;138;271;0;0;182;0;0.0;2;0;2;1
309;Nature conservation officer;Jani PLC;752-22-5876;92/55, Bhagat Nagar, Kumbakonam-395540;(Decimal('-10.668925'), Decimal('-58.755613'));A+;['http://www.gill-roy.info/', 'https://www.ghose.org/', 'http://ganesh-bhatnagar.com/', 'https://dayal.com/'];ladvardaniya;Seher Dewan;F;"H.No. 526
Basak Chowk
Aurangabad 401162";yuvraj-rastogi@yahoo.com;2001-09-22;50;0;2;120;219;0;1;158;0;1.6;1;0;2;1
310;Designer, interior/spatial;Rajagopalan and Sons;001-92-3971;"H.No. 74
Sawhney Circle
Bidhannagar 492507";(Decimal('88.605405'), Decimal('35.147046'));O-;['https://www.deshmukh-gokhale.org/', 'https://bhatt.com/', 'http://www.kuruvilla-sachdev.biz/', 'http://www.ben.biz/'];raghavvenkataraman;Samaira Khanna;M;"H.No. 04
Chahal Nagar
Belgaum 440224";fateh23@yahoo.com;1934-04-07;54;1;0;120;188;0;1;113;0;1.4;1;1;3;0
311;collaborateur de notaire de notaire;Martin;2,15095E+14;"80, rue de Valette
89761 Lemonniernec";(Decimal('-26.081090'), Decimal('104.847547'));AB+;['https://www.merle.com/', 'https://www.lamy.net/', 'http://gautier.fr/', 'http://bigot.com/'];vgregoire;Adélaïde Bouchet;F;"55, boulevard François Valette
66500 Jacquot-sur-Hoarau";bclerc@wanadoo.fr;2018-06-08;60;1;0;130;253;0;1;144;1;1.4;2;1;3;0
312;Psychologist, occupational;Tak, Khatri and Ranganathan;956-46-2177;"099
Bajaj Path, Karawal Nagar 276596";(Decimal('40.9500885'), Decimal('-120.845708'));AB-;['http://www.randhawa-tailor.com/', 'https://kuruvilla-sura.com/', 'https://ghose-shroff.biz/', 'https://kunda-gulati.com/'];daraabram;Rasha Goel;F;H.No. 93, Dash Street, Bareilly-194610;eloke@gmail.com;1997-01-18;57;1;0;152;274;0;1;88;1;1.2;1;1;3;0
313;Public relations officer;Reddy and Sons;615-51-9293;"94
Hayer Chowk
Gudivada 063916";(Decimal('-20.7726345'), Decimal('-166.582076'));AB-;['https://www.chakraborty-majumdar.com/', 'http://www.salvi.com/', 'https://www.deep.com/', 'https://www.borah.com/'];onkar32;Suhana Walia;F;"225, Bansal Zila
Nangloi Jat-676440";nishithsastry@yahoo.com;1955-07-10;52;1;0;128;255;0;1;161;1;0.0;2;1;3;0
315;domoticien;Evrard;1,9803E+14;"427, chemin Berger
16752 Dumasboeuf";(Decimal('-79.390884'), Decimal('100.723081'));O+;['https://pereira.com/', 'https://renault.org/'];verdierlaure;Thibault Pinto;M;"avenue Guy Boutin
84043 Perrin";sophie17@dbmail.com;1932-01-01;59;1;3;170;288;0;0;159;0;0.2;1;0;3;0
316;Camera operator;Sami PLC;190-32-5374;"39/919, Dayal Ganj
Dibrugarh 647874";(Decimal('85.8577595'), Decimal('-155.674621'));O+;['http://hans.com/', 'https://www.dua.biz/', 'http://goel.org/'];kiara19;Stuvan Krish;F;"228
Hari Zila
Davanagere 352655";jaggiarnav@gmail.com;1936-02-01;62;0;0;124;209;0;1;163;0;0.0;2;0;2;1
317;Paramedic;Riggs Inc;111-51-8288;"285 Landry Ways
New Michael, TN 14127";(Decimal('-28.6490545'), Decimal('-90.573623'));B+;['http://house.com/', 'http://blackburn.biz/', 'https://www.berry.org/', 'http://jackson-brown.com/'];bhale;Stacey Smith;F;"732 Laurie Hollow
North Robert, DC 60357";paulaclark@yahoo.com;1971-03-22;60;1;0;125;258;0;0;141;1;2.8;1;1;3;0
318;Product/process development scientist;Kade, Gill and Raju;917-38-9904;"24
Rajagopalan Street, Kota-917505";(Decimal('-20.3324135'), Decimal('-24.373905'));AB-;['https://www.dutt-gopal.com/', 'http://www.johal.com/', 'https://www.gour.org/'];pkuruvilla;Rhea Loyal;M;"H.No. 60, Sahni Path
Bulandshahr-360636";ebakshi@yahoo.com;1920-02-25;61;1;2;150;243;1;1;137;1;1.0;1;0;2;1
319;Surveyor, planning and development;Contractor, Gandhi and Sane;105-66-3225;"14, Handa Nagar
Thiruvananthapuram 633294";(Decimal('-83.727863'), Decimal('142.596760'));B-;['https://dave.com/', 'https://dora.com/', 'https://www.bains-vyas.com/'];smander;Sana Sundaram;F;"691
Kunda Street
Bidhannagar-585033";iwarrior@yahoo.com;2013-01-14;42;0;2;120;209;0;1;173;0;0.0;1;0;2;1
320;apiculteur;Berthelot SA;2,50066E+14;"89, boulevard Gomes
53212 Couturier";(Decimal('-15.5014135'), Decimal('30.222480'));AB+;['https://www.de.fr/', 'https://imbert.fr/'];royerleon;Danielle Didier;F;"766, avenue Guichard
06253 Germain";ljoly@bouygtel.fr;1999-12-04;63;1;0;130;330;1;0;132;1;1.8;2;3;3;0
321;Special effects artist;Johal, Sinha and Korpal;427-03-5557;"868
Bir Zila
Guntur-848239";(Decimal('-53.8885105'), Decimal('-104.926131'));B-;['http://kumar-sastry.com/'];tellanirvaan;Kiara Badal;F;74, Walla Street, Amritsar 741678;manikyahayer@gmail.com;1976-02-16;64;0;0;130;303;0;1;122;0;2.0;1;2;2;1
322;météorologiste;Da Silva SA;2,56032E+14;"53, avenue Bonnet
68353 Mercier";(Decimal('-75.2715995'), Decimal('42.097749'));AB-;['https://schmitt.com/', 'http://www.denis.com/', 'https://www.traore.com/'];andreethibault;Rémy Léger;M;"rue Fournier
12175 Saint Michelle-sur-Mer";eleonoreleblanc@hotmail.fr;1986-09-27;65;1;0;110;248;0;0;158;0;0.6;2;2;1;0
323;Company secretary;Farmer-Delgado;274-51-3757;"51288 Amanda Ranch
Hansonstad, MT 31400";(Decimal('17.639753'), Decimal('18.081733'));A+;['http://www.friedman.org/'];wolfeanna;Robert Mathews;M;"80828 Rodriguez Overpass Apt. 707
Campbellton, FM 30646";toddhaney@hotmail.com;1936-01-19;57;1;0;110;201;0;1;126;1;1.5;1;0;1;1
324;Armed forces technical officer;Martinez, Patton and Rice;383-12-5727;"807 Higgins Alley
East Chad, DE 90229";(Decimal('13.875422'), Decimal('5.192462'));B-;['https://www.king-thompson.com/'];tpugh;Jose Brown;M;"1334 Juarez Tunnel Suite 358
Melissaburgh, MN 73630";caintammy@hotmail.com;1948-06-08;39;1;0;118;219;0;1;140;0;1.2;1;0;3;0
325;scénariste;Grenier;2,14046E+14;"33, rue Lemaire
76286 Chauvet-la-Forêt";(Decimal('-82.322048'), Decimal('-96.954246'));A-;['https://www.fernandes.com/', 'http://www.da.com/'];vasseurmargaud;Julie-Camille Faivre;F;"57, rue de Neveu
69476 Dumont";lesageroland@club-internet.fr;1912-05-01;53;1;0;140;203;1;0;155;1;3.1;0;0;3;0
326;télévendeur;Techer;2,87022E+14;"2, avenue de Evrard
58038 Cousin-sur-Mer";(Decimal('-8.2318855'), Decimal('-83.940439'));AB+;['http://www.boulay.com/', 'https://mary.fr/', 'http://marchal.com/'];ypereira;Christiane Robert;F;"50, boulevard de Prévost
63612 DijouxBourg";royfranck@bouygtel.fr;1996-02-16;48;0;2;130;275;0;1;139;0;0.2;2;0;2;1
327;Film/video editor;Seth-Manda;411-48-1196;"531
Kamdar Zila, Chittoor 024744";(Decimal('6.0050095'), Decimal('48.707565'));AB+;['https://www.dugar-mannan.net/', 'https://www.vasa.com/'];issaccharvi;Shray Kala;M;"H.No. 82
Dubey Road
Bidhannagar-442999";balansaanvi@hotmail.com;1998-05-13;65;1;3;138;282;1;0;174;0;1.4;1;1;2;0
